,start_value,bottom_value,difference,percent_diff
0,232000.0,219633.33,-12366.670000000013,-0.05330461206896557
1,116933.33,116200.0,-733.3300000000017,-0.006271351376036257
2,193833.33,168200.0,-25633.329999999987,-0.1322441811219979
3,213300.0,164200.0,-49100.0,-0.2301922175339897
4,424633.33,389066.67,-35566.66000000003,-0.08375852173450453
5,582933.33,530100.0,-52833.32999999996,-0.09063357211021021
6,154766.67,140666.67,-14100.0,-0.09110488711813725
7,754266.67,694433.33,-59833.340000000084,-0.07932650663193176
8,210966.67,203966.67,-7000.0,-0.03318059672648765
9,65833.33,60300.0,-5533.330000000002,-0.08405058653420694
10,112166.67,109733.33,-2433.3399999999965,-0.02169396666585534
11,83600.0,75933.33,-7666.669999999998,-0.0917065789473684
12,83600.0,75933.33,-7666.669999999998,-0.0917065789473684
13,158633.33,149833.33,-8800.0,-0.05547384020747721
14,116066.67,118666.67,2600.0,0.022400918368727214
15,347200.0,325300.0,-21900.0,-0.06307603686635944
16,434633.33,393966.67,-40666.66000000003,-0.09356544285271456
18,220866.67,209333.33,-11533.340000000026,-0.052218562447652356
19,154266.67,149966.67,-4300.0,-0.027873810979390425
20,127866.67,116700.0,-11166.669999999998,-0.08733057645123626
21,175766.67,164366.67,-11400.0,-0.06485871297442228
22,281266.67,274866.67,-6400.0,-0.022754206888430828
23,109166.67,107200.0,-1966.6699999999983,-0.01801529715983824
24,129333.33,126233.33,-3100.0,-0.023969072782708063
25,193500.0,195033.33,1533.3299999999872,0.007924186046511562
26,199633.33,169200.0,-30433.329999999987,-0.15244613712549898
27,233200.0,199833.33,-33366.67000000001,-0.14308177530017158
28,263833.33,248800.0,-15033.330000000016,-0.05698040501554529
29,195766.67,183266.67,-12500.0,-0.06385152283583308
30,177500.0,160400.0,-17100.0,-0.09633802816901409
31,92833.33,91500.0,-1333.3300000000017,-0.014362621700632754
32,127633.33,132833.33,5199.999999999985,0.040741709081789104
34,187400.0,180566.67,-6833.329999999987,-0.03646387406616856
35,105233.33,110666.67,5433.3399999999965,0.05163136052047385
36,156400.0,135200.0,-21200.0,-0.13554987212276215
37,112833.33,106800.0,-6033.330000000002,-0.053471168492501296
38,325300.0,236266.67,-89033.32999999999,-0.2736960651706117
39,296133.33,272000.0,-24133.330000000016,-0.081494811813314
40,202066.67,167566.67,-34500.0,-0.17073572796542844
41,76400.0,71066.67,-5333.330000000002,-0.06980798429319374
42,141800.0,139833.33,-1966.6700000000128,-0.013869322990127029
43,179166.67,169800.0,-9366.670000000013,-0.052279087399458905
44,207633.33,160500.0,-47133.32999999999,-0.22700271676035821
45,205700.0,157666.67,-48033.32999999999,-0.23351157024793381
46,125100.0,116566.67,-8533.330000000002,-0.06821207034372503
47,93633.33,104900.0,11266.669999999998,0.12032755857342677
48,161800.0,157200.0,-4600.0,-0.02843016069221261
49,168566.67,144233.33,-24333.340000000026,-0.14435439698725747
50,118800.0,120100.0,1300.0,0.010942760942760943
51,97966.67,90333.33,-7633.3399999999965,-0.07791772446690284
52,128200.0,126333.33,-1866.6699999999983,-0.01456060842433696
53,194466.67,191433.33,-3033.3400000000256,-0.01559825136101742
54,163300.0,139333.33,-23966.670000000013,-0.14676466625842016
55,109700.0,115600.0,5900.0,0.053783044667274384
56,92300.0,99866.67,7566.669999999998,0.08197908992416032
57,112500.0,112500.0,0.0,0.0
58,58900.0,58200.0,-700.0,-0.011884550084889643
59,125166.67,120066.67,-5100.0,-0.04074567135164657
60,152966.67,144000.0,-8966.670000000013,-0.0586184559028448
61,397833.33,355966.67,-41866.66000000003,-0.10523668290939835
62,115033.33,108700.0,-6333.330000000002,-0.055056477979034436
63,261333.33,225833.33,-35500.0,-0.13584183846737038
64,154200.0,146700.0,-7500.0,-0.048638132295719845
65,89633.33,84700.0,-4933.330000000002,-0.055039012831499194
66,103500.0,93766.67,-9733.330000000002,-0.09404183574879228
67,177966.67,162366.67,-15600.0,-0.08765686293956053
68,72600.0,68333.33,-4266.669999999998,-0.05876955922865011
69,249933.33,270100.0,20166.670000000013,0.08068819792862367
70,77600.0,69466.67,-8133.330000000002,-0.10481095360824745
71,109733.33,106466.67,-3266.6600000000035,-0.0297690774534957
72,363300.0,268200.0,-95100.0,-0.2617671345995045
73,129333.33,128900.0,-433.33000000000175,-0.0033504897770744923
74,61900.0,67500.0,5600.0,0.09046849757673667
75,186800.0,164500.0,-22300.0,-0.11937901498929336
76,102533.33,106566.67,4033.3399999999965,0.03933686733864975
77,222166.67,217066.67,-5100.0,-0.022955738590311497
78,100200.0,91366.67,-8833.330000000002,-0.08815698602794413
79,112966.67,116366.67,3400.0,0.03009737296850478
80,98300.0,99833.33,1533.3300000000017,0.015598474059003069
81,60766.67,76133.33,15366.660000000003,0.252879744767979
82,106666.67,97566.67,-9100.0,-0.08531249733398447
83,145500.0,140833.33,-4666.670000000013,-0.03207333333333342
84,116800.0,104866.67,-11933.330000000002,-0.10216892123287673
85,119566.67,115066.67,-4500.0,-0.0376359063943154
86,138400.0,128500.0,-9900.0,-0.07153179190751445
87,120800.0,120766.67,-33.330000000001746,-0.0002759105960265045
88,85500.0,84300.0,-1200.0,-0.014035087719298246
89,76933.33,74966.67,-1966.6600000000035,-0.0255631726847129
90,200266.67,191366.67,-8900.0,-0.04444074493274392
91,67600.0,57233.33,-10366.669999999998,-0.1533531065088757
92,189300.0,173033.33,-16266.670000000013,-0.0859306391970418
93,159233.33,171000.0,11766.670000000013,0.07389577295155489
94,240000.0,227333.33,-12666.670000000013,-0.05277779166666672
95,132666.67,134533.33,1866.6599999999744,0.01407030115401234
96,200066.67,188433.33,-11633.340000000026,-0.05814731659201418
97,54833.33,45200.0,-9633.330000000002,-0.17568384046710278
98,101100.0,111866.67,10766.669999999998,0.10649525222551927
99,135833.33,134366.67,-1466.6599999999744,-0.010797497197484407
101,506833.33,464666.67,-42166.66000000003,-0.0831963043945828
102,121366.67,118233.33,-3133.3399999999965,-0.025817137439792956
103,183733.33,186500.0,2766.670000000013,0.01505807356781708
104,130333.33,123766.67,-6566.6600000000035,-0.05038358185124253
105,294333.33,229133.33,-65200.00000000003,-0.22151755630257716
106,105633.33,106333.33,700.0,0.0066266963277594295
107,87266.67,77533.33,-9733.339999999997,-0.11153559543408723
108,137133.33,131800.0,-5333.329999999987,-0.038891566331831856
109,203533.33,186866.67,-16666.659999999974,-0.0818866374367283
110,161333.33,156300.0,-5033.329999999987,-0.031198327090874448
111,446566.67,420033.33,-26533.339999999967,-0.059416301713694775
112,95933.33,93966.67,-1966.6600000000035,-0.020500278683122992
113,274533.33,267133.33,-7400.0,-0.026954832770214092
114,230566.67,220066.67,-10500.0,-0.0455399733187802
115,153400.0,146000.0,-7400.0,-0.048239895697522815
116,242866.67,230100.0,-12766.670000000013,-0.05256657902049718
117,215333.33,224466.67,9133.340000000026,0.04241489229744427
118,93066.67,94300.0,1233.3300000000017,0.013252112705869908
119,139433.33,137100.0,-2333.329999999987,-0.01673437764127119
120,202800.0,189166.67,-13633.329999999987,-0.06722549309664688
121,220366.67,211533.33,-8833.340000000026,-0.040084736952280604
123,126633.33,137966.67,11333.340000000011,0.08949729111601196
124,145333.33,152166.67,6833.340000000026,0.047018395573816596
125,74266.67,73100.0,-1166.6699999999983,-0.015709200372118454
126,127200.0,125500.0,-1700.0,-0.013364779874213837
127,117766.67,114366.67,-3400.0,-0.028870647357185187
128,177900.0,147200.0,-30700.0,-0.17256885890949972
129,170733.33,170100.0,-633.3299999999872,-0.003709469029860703
130,103200.0,101000.0,-2200.0,-0.02131782945736434
131,137400.0,124466.67,-12933.330000000002,-0.09412903930131006
132,180266.67,187866.67,7600.0,0.042159762534028054
133,608133.33,606800.0,-1333.329999999958,-0.002192496175139682
134,78833.33,66600.0,-12233.330000000002,-0.15517966829512342
135,146400.0,139600.0,-6800.0,-0.04644808743169399
136,79100.0,77166.67,-1933.3300000000017,-0.024441592920354003
137,148666.67,134566.67,-14100.0,-0.09484304720082853
138,90433.33,86166.67,-4266.6600000000035,-0.04718017129303989
139,130633.33,128866.67,-1766.6600000000035,-0.013523807438729484
140,76600.0,75400.0,-1200.0,-0.015665796344647518
143,322833.33,299766.67,-23066.660000000033,-0.07145067704130807
144,61866.67,60866.67,-1000.0,-0.0161637922325543
145,424866.67,422100.0,-2766.6699999999837,-0.0065118546484241365
146,123833.33,123766.67,-66.66000000000349,-0.0005383041867646093
147,142833.33,147900.0,5066.670000000013,0.03547260292818219
148,103433.33,104500.0,1066.6699999999983,0.010312633268212463
149,132566.67,130533.33,-2033.340000000011,-0.015338244522548623
150,86733.33,79833.33,-6900.0,-0.07955419214274374
151,195466.67,188300.0,-7166.670000000013,-0.03666440933382664
152,117033.33,118000.0,966.6699999999983,0.008259783772708152
153,159133.33,161200.0,2066.670000000013,0.012987034205844954
154,122733.33,111100.0,-11633.330000000002,-0.09478541810932696
155,153133.33,157900.0,4766.670000000013,0.03112758012902882
156,84666.67,74133.33,-10533.339999999997,-0.12440952266104238
157,103500.0,104133.33,633.3300000000017,0.006119130434782625
158,292266.67,288166.67,-4100.0,-0.014028284511538727
159,161000.0,154933.33,-6066.670000000013,-0.03768118012422368
160,130366.67,114833.33,-15533.339999999997,-0.11915116033875835
161,267833.33,259900.0,-7933.330000000016,-0.029620398626265133
163,122366.67,118100.0,-4266.669999999998,-0.03486790970122827
164,128533.33,121066.67,-7466.6600000000035,-0.058091235946349504
165,125300.0,121866.67,-3433.3300000000017,-0.027400877893056678
166,117400.0,111800.0,-5600.0,-0.04770017035775128
167,120500.0,123433.33,2933.3300000000017,0.024342987551867236
168,169266.67,161933.33,-7333.340000000026,-0.04332418189593985
169,110866.67,108900.0,-1966.6699999999983,-0.01773905538968563
170,556766.67,525266.67,-31500.0,-0.05657666253621108
171,95033.33,101700.0,6666.669999999998,0.07015086180816771
172,146000.0,141366.67,-4633.329999999987,-0.03173513698630128
173,66566.67,67166.67,600.0,0.00901351982906761
174,125566.67,152700.0,27133.33,0.2160870396578965
175,118133.33,116733.33,-1400.0,-0.011851016135751019
176,147633.33,151000.0,3366.670000000013,0.022804267843853507
178,200700.0,186733.33,-13966.670000000013,-0.0695897857498755
179,221733.33,244233.33,22500.0,0.10147324265594172
180,166066.67,153466.67,-12600.0,-0.07587314179299193
181,305133.33,291800.0,-13333.330000000016,-0.043696734145693014
182,120833.33,129800.0,8966.669999999998,0.07420692618501863
183,249966.67,226066.67,-23900.0,-0.09561274709144223
184,74733.33,73266.67,-1466.6600000000035,-0.019625246192027084
185,129833.33,125100.0,-4733.330000000002,-0.036456971410962054
186,129866.67,121233.33,-8633.339999999997,-0.06647848905342685
188,81766.67,78700.0,-3066.6699999999983,-0.03750513503851873
189,126833.33,131966.67,5133.340000000011,0.04047311538694136
192,88166.67,82133.33,-6033.3399999999965,-0.06843107491753966
193,76633.33,75800.0,-833.3300000000017,-0.010874250146770363
194,282100.0,270566.67,-11533.330000000016,-0.04088383551931945
195,87200.0,86866.67,-333.33000000000175,-0.003822591743119286
196,198533.33,190766.67,-7766.659999999974,-0.03912018198657109
197,88233.33,90333.33,2100.0,0.023800529799793343
198,166900.0,158000.0,-8900.0,-0.053325344517675254
199,150166.67,137033.33,-13133.340000000026,-0.08745842203199967
200,95833.33,95900.0,66.66999999999825,0.000695686980719529
201,61833.33,61466.67,-366.6600000000035,-0.005929811640421169
202,242900.0,237900.0,-5000.0,-0.02058460271716756
203,99200.0,93633.33,-5566.669999999998,-0.05611562499999998
204,145400.0,134966.67,-10433.329999999987,-0.07175605226960101
206,173166.67,174633.33,1466.6599999999744,0.00846964372531951
207,170100.0,172266.67,2166.670000000013,0.012737624926513891
208,120100.0,121066.67,966.6699999999983,0.008048875936719387
209,178266.67,171100.0,-7166.670000000013,-0.04020196259906584
211,171366.67,163266.67,-8100.0,-0.04726706774427022
212,120800.0,121800.0,1000.0,0.008278145695364239
213,108666.67,114866.67,6200.0,0.05705521297376647
214,353400.0,336666.67,-16733.330000000016,-0.04734954725523491
217,163200.0,145800.0,-17400.0,-0.10661764705882353
218,191466.67,192033.33,566.6599999999744,0.002959575157388878
219,110633.33,116466.67,5833.3399999999965,0.05272678676489261
220,180866.67,171200.0,-9666.670000000013,-0.05344638677761918
221,202133.33,200033.33,-2100.0,-0.010389182229373059
222,97666.67,104200.0,6533.330000000002,0.06689416153944842
223,66700.0,68600.0,1900.0,0.02848575712143928
224,95466.67,94833.33,-633.3399999999965,-0.006634147813053461
225,108033.33,98566.67,-9466.660000000003,-0.08762721652660344
226,305200.0,282600.0,-22600.0,-0.07404980340760157
228,39500.0,37466.67,-2033.3300000000017,-0.051476708860759536
230,111300.0,135466.67,24166.670000000013,0.21713090745732266
233,87866.67,88966.67,1100.0,0.01251896765861276
234,128933.33,171433.33,42499.999999999985,0.3296277231030951
235,133233.33,136366.67,3133.3400000000256,0.023517688854583354
236,190333.33,186500.0,-3833.329999999987,-0.020140087918390264
238,100800.0,99433.33,-1366.6699999999983,-0.01355823412698411
239,130733.33,128033.33,-2700.0,-0.02065272872648467
240,116500.0,115233.33,-1266.6699999999983,-0.01087270386266093
241,85500.0,84300.0,-1200.0,-0.014035087719298246
242,96066.67,96366.67,300.0,0.003122831258749783
243,70500.0,68766.67,-1733.3300000000017,-0.024586241134751798
244,105800.0,86100.0,-19700.0,-0.18620037807183365
245,118233.33,114566.67,-3666.6600000000035,-0.031012067409418337
246,129233.33,138233.33,8999.999999999985,0.06964147716382442
247,144566.67,139900.0,-4666.670000000013,-0.032280400454683035
248,74133.33,80366.67,6233.3399999999965,0.08408282752170983
250,205700.0,197000.0,-8700.0,-0.042294603791929994
252,121650.0,122766.67,1116.6699999999983,0.009179367036580338
